Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Levitating,Dua Lipa,dance-pop,203807,False,71,181,GB
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",pop,191013,False,73,184,"CA, US"
Blinding Lights,The Weeknd,r&b,200040,False,83,184,CA
Mood (feat. iann dior),"24kGoldn, iann dior",melodic rap,140533,True,73,185,"US, US"
good 4 u,Olivia Rodrigo,pop,178146,True,77,184,US
Kiss Me More (feat. SZA),"Doja Cat, SZA",r&b,208666,True,79,185,"US, US"
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic","pop, r&b, alternative rock",242096,False,0,0,"US, US, US"
drivers license,Olivia Rodrigo,pop,242013,True,79,184,US
MONTERO (Call Me By Your Name),Lil Nas X,pop rap,137704,True,70,185,US
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, GIVĒON",r&b,198081,True,74,184,"CA, CA, US"
Butter,BTS,k-pop,164441,False,1,0,KR
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber","hip hop, pop",141805,True,19,0,"AU, CA"
deja vu,Olivia Rodrigo,pop,215506,True,79,184,US
positions,Ariana Grande,pop,172324,True,52,184,US
Bad Habits,Ed Sheeran,soft pop,230746,False,75,185,GB
Heat Waves,Glass Animals,electronic,238805,False,26,0,GB
WITHOUT YOU,The Kid LAROI,hip hop,161384,True,0,0,AU
Forever After All,Luke Combs,country,232533,False,70,185,US
Go Crazy,"Chris Brown, Young Thug","rap, r&b, melodic rap, trap",176960,True,67,185,"US, CA"
Astronaut In The Ocean,Masked Wolf,audio drama,132780,True,66,183,DE
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",pop,182437,True,59,184,"US, US, US"
What You Know Bout Love,Pop Smoke,"drill, new york drill, brooklyn drill",160000,True,42,184,US
my ex's best friend (with blackbear),"mgk, blackbear","hip hop, hip hop",139460,True,67,184,"US, US"
INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow","pop rap, hip hop",212352,True,67,185,"US, US"
Therefore I Am,Billie Eilish,alternative pop,173539,False,69,184,US
Up,Cardi B,hip hop,156944,True,61,185,US
Fancy Like,Walker Hayes,country,161853,False,0,0,US
DÁKITI,"Bad Bunny, JHAYCO","urbano latino, trap latino, reggaeton, latin",205090,True,72,185,"PR, PR"
Best Friend (feat. Doja Cat),"Saweetie, Doja Cat","hip hop, hip hop",155883,True,62,185,"US, US"
RAPSTAR,Polo G,Unknown,165925,True,74,185,GB
Heartbreak Anniversary,GIVĒON,r&b,198370,False,52,185,US
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby","drill, new york drill, brooklyn drill",190476,True,42,184,"US, US, US"
Calling My Phone,"Lil Tjay, 6LACK","melodic rap, brooklyn drill",205458,True,70,185,"US, US"
Beautiful Mistakes (feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",pop,227395,False,70,184,"US, US"
Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper","pop, hip hop",212093,False,61,184,"CA, US"
On Me,Lil Baby,hip hop,135959,True,66,184,US
you broke me first,Tate McRae,pop,169265,True,20,0,CA
traitor,Olivia Rodrigo,pop,229226,False,81,184,US
Back in Blood (feat. Lil Durk),"Pooh Shiesty, Lil Durk","drill, memphis rap",184489,True,61,185,"US, US"
I Hope (feat. Charlie Puth),"Gabby Barrett, Charlie Puth","country, soft pop, pop",211605,False,54,185,"US, US"
Dynamite,BTS,k-pop,199053,False,1,0,KR
Wockesha,Moneybagg Yo,memphis rap,180930,True,59,184,US
You Right,"Doja Cat, The Weeknd","hip hop, r&b",186173,True,72,185,"US, CA"
Beat Box 3 (feat. DaBaby),"SpotemGottem, DaBaby","trap, hip hop",200424,True,45,184,"US, US"
Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk","rap, drill, hip hop",261492,True,71,184,"CA, US"
Need to Know,Doja Cat,hip hop,210560,True,74,185,US
Wants and Needs (feat. Lil Baby),"Drake, Lil Baby","rap, hip hop",192956,True,71,184,"CA, US"
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug","rap, melodic rap, trap, hip hop",257604,True,68,184,"CA, US, CA"
telepatía,Kali Uchis,alternative r&b,160191,False,77,184,US
Whoopty,CJ,dembow,123262,True,59,184,BE
"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money, Gunna, Don Toliver, NAV",melodic rap,195428,True,19,0,"Unknown, US, US, CA"
Good Days,SZA,r&b,279204,True,71,184,US
Starting Over,Chris Stapleton,country,240413,False,57,184,US
Body,Megan Thee Stallion,hip hop,171067,True,63,185,US
willow,Taylor Swift,pop,214706,False,69,183,US
Bang!,AJR,indie pop,170858,False,0,0,US
Better Together,Luke Combs,country,219573,False,42,185,US
You’re Mines Still (feat. Drake),"Yung Bleu, Drake","rap, hip hop",226220,True,18,0,"US, CA"
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",drill,236524,True,67,185,"DZ, US, US"
Essence (feat. Justin Bieber & Tems),"Wizkid, Justin Bieber, Tems","afropiano, dancehall, azonto, afrobeat, alté, afrobeats, afroswing, afropop",263293,False,53,185,"NG, CA, NG"
Chasing After You,"Ryan Hurd, Maren Morris",country,207666,False,54,185,"US, US"
The Good Ones,Gabby Barrett,country,215140,False,63,185,US
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",edm,154983,False,74,184,"US, US"
Glad You Exist,Dan + Shay,country,144760,False,51,185,US
