Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country,Main Genre
Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus","pop rap, country",157066,False,69,185,"US, US",Hip Hop
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","hip hop, blues",158040,False,76,184,"US, US",Hip Hop
Without Me,Halsey,alternative pop,201660,True,46,0,US,Pop
bad guy,Billie Eilish,alternative pop,194087,False,77,184,US,Pop
Wow.,Post Malone,hip hop,149546,True,72,183,US,Hip Hop
Happier,"Marshmello, Bastille",edm,214289,False,26,0,"US, GB",Electronic
7 rings,Ariana Grande,pop,178626,True,78,179,US,Pop
Talk (feat. Disclosure),"Khalid, Disclosure",house,197573,False,63,185,"US, GB",Electronic
SICKO MODE,Travis Scott,rap,312820,True,78,185,US,Hip Hop
Sucker,Jonas Brothers,teen pop,181040,False,1,0,US,Pop
High Hopes,Panic! At The Disco,emo,190946,False,75,184,US,Rock
"thank u, next",Ariana Grande,pop,207320,True,75,179,US,Pop
Truth Hurts,Lizzo,hip hop,173325,True,51,184,US,Hip Hop
Dancing With A Stranger (with Normani),"Sam Smith, Normani",soft pop,171029,False,67,184,"GB, US",Pop
Señorita,"Shawn Mendes, Camila Cabello",pop,190960,False,72,184,"CA, US",Pop
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",soft pop,219946,False,69,184,"GB, CA",Pop
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid","swing, alternative pop, contemporary r&b",173799,False,67,184,"US, US, US",Unknown
Going Bad (feat. Drake),"Meek Mill, Drake","hip hop, rap",180522,True,71,184,"US, CA",Hip Hop
Shallow,"Lady Gaga, Bradley Cooper","art pop, pop",215733,False,79,179,"US, US",Pop
Better,Khalid,contemporary r&b,229412,False,35,176,US,R&B
No Guidance (feat. Drake),"Chris Brown, Drake","hip hop, r&b, rap",260640,True,0,0,"US, CA",Hip Hop
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",pop,235545,True,57,179,"US, US",Pop
Sweet but Psycho,Ava Max,pop,187436,False,4,0,US,Pop
Suge,DaBaby,hip hop,163320,True,62,182,US,Hip Hop
MIDDLE CHILD,J. Cole,rap,213593,True,73,179,GB,Hip Hop
Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",melodic rap,145542,True,75,182,"US, US",Hip Hop
Someone You Loved,Lewis Capaldi,soft pop,182160,False,81,184,GB,Pop
Ransom,Lil Tecca,"melodic rap, rap",131240,True,81,183,US,Hip Hop
If I Can't Have You,Shawn Mendes,pop,190800,False,60,184,CA,Pop
Goodbyes (feat. Young Thug),"Post Malone, Young Thug","trap, melodic rap, rap",174853,True,71,183,"US, CA",Hip Hop
ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",rap,228759,True,71,184,"US, US, US",Hip Hop
Better Now,Post Malone,hip hop,231266,True,74,183,US,Hip Hop
Youngblood,5 Seconds of Summer,pop rock,203417,False,76,179,AU,Rock
