Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
When Doves Cry,Prince,funk,352906,False,9,0,US
What's Love Got to Do with It,Tina Turner,soul,226880,False,67,185,CH
Say Say Say,"Paul McCartney, Michael Jackson","pop, pop",234160,False,45,184,"GB, US"
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,pop,226826,False,70,185,US
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,soft rock,206360,False,75,184,GB
Jump - 2015 Remaster,Van Halen,"rock, hard rock, glam metal, classic rock",241599,False,77,171,US
Hello,Lionel Richie,motown,251106,False,58,3,US
Owner of a Lonely Heart,Yes,"album rock, progressive rock, art rock, symphonic rock",268506,False,71,185,GB
Ghostbusters,Ray Parker Jr.,2008 universal fire victim,240800,False,56,144,US
Karma Chameleon - Remastered 2002,Culture Club,pop,252773,False,74,184,GB
Missing You,John Waite,arena rock,269760,False,71,184,US
All Night Long (All Night),Lionel Richie,motown,383440,False,56,183,US
"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",Deniece Williams,soul,261893,False,54,185,US
Dancing In the Dark,Bruce Springsteen,rock,241306,False,82,185,US
Girls Just Want to Have Fun,Cyndi Lauper,pop,238266,False,80,185,US
The Reflex - Single Version; 2010 Remaster,Duran Duran,"new wave, synthpop",267426,False,60,172,GB
Time After Time,Cyndi Lauper,pop,241333,False,78,185,US
Jump (Original Mix),The Pointer Sisters,disco,262560,False,62,185,US
Talking In Your Sleep (2023 Remaster),The Romantics,power pop,236625,False,67,185,GB
Self Control,Laura Branigan,pop,246440,False,75,184,US
Let's Go Crazy,Prince,funk rock,280000,False,5,0,US
Say It Isn't So,Daryl Hall & John Oates,soft rock,257093,False,48,185,US
Hold Me Now,Thompson Twins,"new wave, synthpop",286666,False,0,0,GB
Joanna - Single Version,Kool & The Gang,"disco, funk",256066,False,43,184,US
I Just Called To Say I Love You,Stevie Wonder,"motown, soul",376293,False,36,3,US
