Track Name,Artists,Genres,Duration (ms),Explicit,Popularity,Available Markets,Artist Country
Joy To The World,Three Dog Night,rock,214960,False,38,84,US
Maggie May,Rod Stewart,soft rock,350266,False,70,184,GB
It's Too Late,Carole King,"folk rock, singer-songwriter",233173,False,71,185,US
One Bad Apple,The Osmonds,glam rock,164973,False,35,184,GB
How Can You Mend A Broken Heart,Bee Gees,disco,237826,False,62,184,GB
Indian Reservation (The Lament of the Cherokee Reservation Indian),"Paul Revere & The Raiders, The Raiders","proto-punk, garage rock",171933,False,44,185,"US, GB"
Go Away Little Girl,Donny Osmond,classic pop and rock,150600,False,33,184,US
"Take Me Home, Country Roads - Original Version",John Denver,folk,190160,False,74,185,US
Just My Imagination (Running Away With Me),The Temptations,"motown, soul",228160,False,62,180,US
Knock Three Times,Tony Orlando & Dawn,Unknown,177173,False,56,185,US
Me and Bobby McGee,Janis Joplin,"acid rock, classic rock, psychedelic rock",271333,False,68,185,US
Tired of Being Alone,Al Green,"motown, soul, soul blues",172626,False,24,185,US
Want Ads,Honey Cone,"motown, northern soul",168386,False,0,0,US
Smiling Faces Sometimes,The Undisputed Truth,"motown, soul",198546,False,50,184,US
Treat Her Like A Lady,Cornelius Brothers & Sister Rose,motown,166306,False,14,184,US
Brown Sugar - Remastered 2009,The Rolling Stones,"classic rock, rock",228666,False,0,0,GB
You've Got a Friend,James Taylor,"folk rock, singer-songwriter, soft rock",268706,False,1,0,US
Mr. Big Stuff,Jean Knight,"motown, soul",164560,False,62,101,FI
Do You Know What I Mean,Lee Michaels,blues,192022,False,12,185,US
The Night They Drove Old Dixie Down,Joan Baez,"folk, folk rock, singer-songwriter",203586,False,21,184,US
What's Going On - Original Single Mix,Marvin Gaye,"motown, quiet storm, soul, northern soul",226133,False,0,0,US
Uncle Albert / Admiral Halsey - Medley / 2012 Remaster,"Paul McCartney, Linda McCartney","pop, pop",295146,False,59,184,"GB, GB"
Ain't No Sunshine,Bill Withers,"motown, soul",125093,False,79,185,US
Signs,Five Man Electrical Band,hard rock,185400,False,31,184,CA
She's A Lady,Tom Jones,pop,174146,False,66,184,Unknown
I’ve Found Someone of My Own,The Free Movement,2008 universal fire victim,222333,False,23,161,US
Superstar,"Tim Rice, Andrew Lloyd Webber, Murray Head, The Trinidad Singers",musicals,255826,False,25,167,"GB, GB, GB, Unknown"
Amos Moses,Jerry Reed,country,139226,False,54,185,US
Temptation Eyes,The Grass Roots,folk rock,174920,False,6,182,US
Superstar,Carpenters,"adult standards, christmas",231506,False,57,184,US
My Sweet Lord - Remastered 2014,George Harrison,rock,281226,False,3,0,GB
Sweet And Innocent,Donny Osmond,classic pop and rock,182186,False,24,184,US
Put Your Hand in the Hand,Ocean,pop soul,176706,False,34,184,GB
Chick-a-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,Unknown,171533,False,26,185,US
"For All We Know - From ""Lovers And Other Strangers"" Soundtrack",Carpenters,"adult standards, christmas",158933,False,58,184,US
If You Could Read My Mind,Gordon Lightfoot,"folk rock, folk, singer-songwriter",228840,False,67,184,CA
Help Me Make It Through The Night,Sammi Smith,Unknown,152293,False,19,182,US
Rainy Days And Mondays,Carpenters,"adult standards, christmas",218893,False,62,184,US
"Gypsys, Tramps & Thieves",Cher,pop,158000,False,57,184,US
Never Can Say Goodbye,The Jackson 5,"motown, christmas",177626,False,50,179,US
Rose Garden,Lynn Anderson,american,175866,False,61,185,US
Don't Pull Your Love Out,"Hamilton, Joe Frank & Reynolds","candy, 2008 universal fire victim",163040,False,50,184,"US, US"
It Don't Come Easy,Ringo Starr,rock,184333,False,53,184,GB
Mr. Bojangles - Remastered,Nitty Gritty Dirt Band,"country rock, country, bluegrass",216595,False,21,184,US
I Love You for All Seasons - Single Version,The Fuzz,northern soul,188373,False,44,185,GB
Whatcha See Is Whatcha Get,The Dramatics,"soul, philly soul",240066,False,44,96,GB
That's The Way I've Always Heard It Should Be,Carly Simon,soft rock,258133,False,43,183,US
If You Really Love Me,Stevie Wonder,"motown, soul",180533,False,51,184,US
Spanish Harlem,Aretha Franklin,"motown, jazz blues, soul",211000,False,31,172,US
I Don't Know How To Love Him,Helen Reddy,pop,199146,False,33,184,AU
Yo-Yo,The Osmonds,glam rock,195786,False,27,184,GB
Bridge over Troubled Water,Aretha Franklin,"motown, jazz blues, soul",333933,False,44,171,US
Doesn't Somebody Want to Be Wanted,The Partridge Family,bubblegum pop,167493,False,13,185,US
Draggin' the Line - Single Version,Tommy James,soul,161826,False,37,184,US
Proud Mary,Ike & Tina Turner,"motown, northern soul",297613,False,56,184,Unknown
Beginnings,Chicago,soft rock,470333,False,34,184,US
Stay Awhile,The Bells,rock,204333,False,0,0,GB
Sweet City Woman,Stampeders,rock,207426,False,56,185,CA
Me and You and a Dog Named Boo,Lobo,2008 universal fire victim,177933,False,51,184,US
Another Day - 2012 Remaster,"Paul McCartney, Linda McCartney","pop, pop",222533,False,55,184,"GB, GB"
If,Bread,soft rock,155773,False,67,184,US
Mercy Mercy Me (The Ecology),Marvin Gaye,"motown, quiet storm, soul, northern soul",196506,False,0,0,US
One Toke Over the Line,Brewer & Shipley,folk rock,199293,False,45,185,US
She's Not Just Another Woman,The 8th Day,northern soul,194133,False,0,0,US
Bring the Boys Home,Freda Payne,"motown, northern soul",199598,False,0,106,US
I Just Want To Celebrate,Rare Earth,"motown, acid rock",217560,False,47,184,US
Never Ending Song of Love,Delaney & Bonnie,"southern rock, roots rock",200466,False,39,184,US
Liar,Three Dog Night,rock,183413,False,14,84,US
Stick Up,Honey Cone,"motown, northern soul",184520,False,0,0,US
Chirpy Chirpy Cheep Cheep,Mac & Katie Kissoon,pop soul,164011,False,22,185,Unknown
"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams,"adult standards, christmas",189066,False,52,185,US
Wild World,Yusuf / Cat Stevens,"folk rock, folk, singer-songwriter",200173,False,1,0,GB
"When You're Hot, You're Hot",Jerry Reed,country,138426,False,2,183,US
"Funky Nassau, Pt. 1",The Beginning Of The End,Unknown,186301,False,0,0,BS
If Not For You,Olivia Newton-John,classic pop and rock,171240,False,38,183,AU
Groove Me,King Floyd,"motown, soul",184466,False,46,185,Unknown
Watching Scotty Grow,Bobby Goldsboro,christmas music,156666,False,10,182,US
Woodstock,Matthews' Southern Comfort,folk rock,269333,False,41,185,GB
Amazing Grace,Judy Collins,"folk, folk rock",248693,False,32,171,US
I Hear You Knocking,Dave Edmunds,"rockabilly, power pop",167786,False,45,182,GB
Lonely Days,Bee Gees,disco,225666,False,48,184,GB
Here Comes That Rainy Day Feeling Again,The Fortunes,rock,172160,False,47,184,GB
Won't Get Fooled Again - Original Album Version,The Who,"classic rock, rock",511400,False,64,179,GB
Trapped By a Thing Called Love,Denise LaSalle,"blues, soul blues, northern soul",158733,False,30,185,US
Mama's Pearl,The Jackson 5,"motown, christmas",187133,False,33,184,US
Timothy,The Buoys,rock,165575,False,0,0,GB
I Woke Up in Love This Morning,The Partridge Family,bubblegum pop,162333,False,24,185,US
Theme From Shaft,Isaac Hayes,soul,197266,False,13,184,US
If I Were Your Woman - Single Version,Gladys Knight & The Pips,"motown, soul, northern soul",194533,False,43,184,US
I Am...I Said - Single Version,Neil Diamond,singer-songwriter,213200,False,60,184,US
Wedding Song (There Is Love) - Remastered Version,Noel Paul Stookey,Unknown,227586,False,34,185,US
"Don't Knock My Love, Pt. 1 - 2006 Remaster; Single Version",Wilson Pickett,"motown, soul, northern soul",136293,False,14,184,US
Love Her Madly,The Doors,"acid rock, classic rock, psychedelic rock",198466,False,66,170,US
Here Comes the Sun,Richie Havens,folk rock,164840,False,4,181,US
Sweet Mary - Rerecorded Version,Wadsworth Mansion,Unknown,167280,False,0,0,US
Right on the Tip of My Tongue,Brenda And The Tabulations,philly soul,199800,False,36,185,US
One Less Bell To Answer,The 5th Dimension,pop,210760,False,43,185,US
Riders on the Storm,The Doors,"acid rock, classic rock, psychedelic rock",434720,False,73,170,US
It's Impossible,Perry Como,"adult standards, christmas",197106,False,44,185,US
